"Internal ID","NS
Status","Site Scope","Instruction Date","Project 
ID 
","Site ID","MBNL Site ID","VF Site ID","TEF Site ID","KTL Project Name","Project Comments","Client 
Priority","Drawing Priority/Status","Site Type","Structure Owner","Design Blocker Start","Design Blocked Close","Blocker 
Status","Blocker Owner","Blocker Reason","Blocker Comments","Survey Supplier","Surveyor","Survey 
RAG","Survey 
Revison","Survey Permit 
Number","RAMS
(A)","Survey
(F)","Survey (A)","DRONE SURVEY DATE (F)","Drone Survey (A)","RMSV DATE (F)","RMSV(A)","SURVEY / DESIGN HANDOVER INFORMATION","Survey 
Approved","Survey Uploaded
to Clients Tools","SURVEY INFORMATION COMMENTS","Survey Comments","Survey Blocker Comments","Survey Abort Comments","GA Supplier","GA Instruction 
Type","CAD provided to 
3rd party 
supplier","GA
(F)","GA 
Rev","GA Designer","GA Status","GA Action","GA Design Notes","GA Issued Client (A)","GA Approved Client (A)","GA Issued Operator (A)","GA Approved Operator (A)","DD Supplier","Dependency 
RAG","Dependency
Owner","Remaining Dependencies
(auto updates at 23:00)","Dependency Notes","DD Status","DD Action","DD Design Notes","DD
Rev","Dependency
Clear","DD
(F)","Dependency
(F)","DD Issued Client (A)","DD Designer","DD Approved Client (A)","DD Issued to Operator (A)","DD Approved to Operator (A)"
"25023","Closed","","","30971200","24309","","","","","Outside London","F","","Deinstructed - Streetworks","","","","","","","","","","","","","F","","","","","","01/01/1900","","F","F","","","","","","","F","","","","","","Cancel SOR for the NRs- Agreed to withdraw replacement site as it is blocked
Cornerstone_ID0017446_CR19029_KTL received on 05/06/24","","","","","","","Raashid Patel","024 STATS","","","","","","F","","","","","","",""
"25397","In Progress","Acquisition & Design","27/03/2024","11148735","21369","","","","ICSS","ICSS","F","P2","Greenfield","","","","Cleared","CS - Robert Sarson","Awaiting Dependencies","21/05/24 BW: RS instructed to complete without CAD 
No CAD - Requested from RS
ICSS Batch 1 - all instructed sites up to 29/04/2024","KTL (Internal)","Chris Padfield","","A","REQ000003455383","T","18/04/2024","18/04/2024","01/01/1900","01/01/1900","01/01/1900","18/04/2024","","T","F","","22/4/2024 - VG - Chris Padfield mentioned in his email:<br />1 - The site is currently rigged as EE 18/21 & H3G 80/18/21, As part of the Vendor swap, 18/18/21/80/70 is proposed.<br />2 - Confirm if RRH's are proposed on the tower or radio units a","","","Emfyser","GA (Existing + Proposed Pages)","F","24/05/2024","B","Sikandar Iqbal","Approved","Rev B approved by EE","05/07/24 LM: GDC Complete, Pass
01/07/24 BW: GDC FC 05/07
28/06/24 BW:PO to be sent to Trylon
20/06/24 BW: GDC quote received. Costs approved by CS/EE. 
18/06/24 BW: GDC quote requested from Trylon
17/06/24 BW: Rev B approved by EE 
14/06/24 BW: Rev B issued to EE. Data integrity V1CR raised on BT site tracker
12/06/24 BW: 2A rejected by EE - see email in folder 
07/06/24 BW: 2A issued to EE
07/06/24 BW: 2A approved by CS see email in folder for rejection comments to be picked up at DD 
07/06/24 BW: 2A issued to CS
06/06/24 BW: 1A rejected by CS, drawings redlined and sent to CAD
24/05/24 BW: 1A Issued to CS
23/05/24 BW: 1st draft received and redlines sent  
21/05/24 BW: GA instructed to CAD
E Number: E300386","24/05/2024","07/06/2024","07/06/2024","17/06/2024","Emfyser","Green","Raashid Patel","005 DNO/REC Quote","","Approved","1A DD issued to EE","09/10/24-MM-DD 1A approved by CS
13/09/24 LM: Build costs approved by CS, sent to Ellie and Robert
28/08/24 LM: Natalie at CS updated: DD approved by EE on 16/08/2024, will upload to CS tools shortly.
License to Occupy has been approved to go to EE last week.
Landlord notification done and Reg 5 has timed out. 
Build costs in progress
This should be good for September
16/08/24 LM: DD Approved by EE
15/08/24 LM: Mark Gleghorn advised Approved by Radio at EE so official approval due imminently 
13/08/24 LM: 1A DD issued to EE
12/07/24 BW: 1A DD issued to CS
05/07/24 BW: DD instructed to CAD FC 09/07
07/06/24 BW: 2A approved by CS see email in folder for rejection comments to be picked up at DD","1A","T","12/07/2024","01/01/2020","12/07/2024","Martin McWaters","09/10/2024","13/08/2024","16/08/2024"
"25400","In Progress","Acquisition & Design","27/03/2024","10707430","26268","","","","ICSS","ICSS","F","P2","Greenfield","","","","Cleared","CS - Rob Sarson","Awaiting Dependencies","GA instructed without CAD file
No CAD - Requested from RS
ICSS Batch 1 - all instructed sites up to 29/04/2024","KTL (Internal)","Chris Padfield","","A","REQ000003453970","T","17/04/2024","17/04/2024","01/01/1900","01/01/1900","01/01/1900","17/04/2024","","T","F","","22/4/2024 - VG - Chris Padfield mentioned in his email:<br />1 - A vendor swap is proposed to replace the EE Huawei cabinet<br />2 - 18/18/21/26/26/26/80/70/3/5 is proposed, the existing installation has 18/21 only<br />3 - Either add 3 No leg-mounte","","","Emfyser","GA (Existing + Proposed Pages)","F","28/05/2024","2A","","Approved","2A approved by EE","09/07/24 LM: GDC Complete, Pass
01/07/24 BW: GDC PO sent to Trylon. FC 12/07
27/06/24 BW: GDC cost approval requested from CS
24/06/24 LM: GDC quote requested from Trylon
21/06/24 BW: 2A approved by EE 
20/06/24 BW: 2A Issued to EE
18/06/24 BW: 2A approved by CS. See email in folder for amends at DD
29/05/24 BW: 2A issued to CS
29-05-2024 SI: All CS comments are rectified on GA REA 2A Draft 1 and it's ready to issue.
28/05/24 SI: Redlines on Rejected 1A shared Emfyser.
28/05/24 BW: 1A rejected by CS see folder for email
28/05/24 BW: 1A issued to CS
28-05-2024 SI: GA REA 1A Draft 2 is ready to issue. 
24-05-2024 SI: Redlines on first draft of GA REV 1A shared with Emfyser. 
21-05-24 SI: GA Instructed
20/05/24 BW: SI to instruct GA without CAD","28/05/2024","18/06/2024","20/06/2024","21/06/2024","Emfyser","Green","Raashid Patel","","","Approved","","17/10/24 LM: DD approved EE
11/10/24 LM: DD approved CS
09/10/24-MM-DD 2A Issued to CS & uploaded to ST (EE approval date removed as needs review again due to dish being relocated)
12/09/24 LM: Build costs approved, sent to CS to send to EE
06/09/24 LM: DD rejected by CS, see file for comments.
28/08/24 LM: Natalie at CS updated: DD approved by EE on 16/08/2024, will upload to CS tools shortly.
Legal draft with Robert Sarson.
Landlord notification done and Reg 5 has timed out. 
Build costs in progress
This should be good for September
15/08/24 LM: DD Approved by EE
13/08/24 LM - 1A issued to EE
25/07/24-MM-1A Issued to CS
11/07-MM-DD Instructed to emfyser
01/07/24 BW: GDC PO sent to Trylon. FC 12/07
18/06/24 BW: 2A approved by CS. See email in folder for amends at DD","2A","T","26/07/2024","01/01/2020","25/07/2024","Martin McWaters","11/10/2024","13/08/2024","16/08/2024"
"25411","In Progress","Acquisition & Design","27/03/2024","12135937","93558","","","","ICSS","ICSS","F","P2","Greenfield","","","","","","","ICSS Batch 1 - all instructed sites up to 29/04/2024","KTL (Internal)","Peter Barrett","","A","REQ000003454345","T","17/04/2024","17/04/2024","01/01/1900","01/01/1900","01/01/1900","17/04/2024","","T","F","","22/04/2024 -VG- Peter Barrett on 19/04/2024 in his mail mentioned: <br />FAULT - TREES TO BE CUT BACK FROM TOWER  - REPORTED VIA LOCKEN","","","Emfyser","GA (Existing + Proposed Pages)","T","03/05/2024","2A","Sikandar Iqbal","Approved","2A approved by EE","19/07/24 LM: DD rejected by CS
24/06/24 BW: DD FC 28/06
19/06/24 BW: GDC back (Pass)
17/06/24 BW: GDC due today
31/05/2024 BW: GDC insrcuted to Trylon to see if they can do L2 
30/05/2024 BW: Trust said they can do L2 without headframe or L3 with headframe
29/05/24 BW: GDC instructed to Trust 
21/05/24 BW: 2A GA approved by EE. DS to email RS for GDC approval 
14/05/24 BW: 2A GA issued to EE (NM) via email/WeTransfer
13/05/24 BW: 2A GA approved by CS.
10/05/24 BW: Rev 2A GA uploaded to CS SP 
09/05/24 BW: Rejection comments reviewed and redline sent to Emfyser. Rejection email in site folder 
08/05/24 BW: GA rejected by CS 
03/05/24 BW: GA uploaded to CS 
29/04/24 BW: Second Draft GA back from Emfyser
26/04/24 BW: First draft GA back from Emfyser, redlined and returned
24/04/24 BW GA instructed to Emfyser.","03/05/2024","13/05/2024","14/05/2024","21/05/2024","Emfyser","Green","Raashid Patel","011 GDC L2,006 Electrical Calculations / Design","","Approved","with Sikandar","17/09/24 LM: Build costs approved
28/08/24 LM: Natalie at CS updated: DD approved by CS and EE on 15/08/2024
Legals should be with EE this week for review once query is resolved. With Robert and Ellie (on leave).
Landlord notification done and Reg 5 has timed out
Build costs in progress
This should be good for September
15/08/24 LM: DD approved by EE with observations, see Design/Build Comments
15/08/24 LM: In queue with radio at EE for review
15/08/24 LM: DD approved by CS
13/08/24 LM: 2A issued to DD
29/07-MM-2A Issued to CS
23/07/24-MM- REV 2A amendments sent to Emfyser
19/07/24 LM: DD rejected by CS
28/06/24 BW: 1A issued to CS
25/06/24 BW: 1st draft DD redlined sent to CAD. MM to chase electrical
19/06/24 BW: DD instructed to CAD. Electrical instructed
21/05/24 BW: See CS GA approval email in folder for amends required at DD","2A","T","28/06/2024","01/01/2020","28/06/2024","Martin McWaters","13/08/2024","28/06/2024","15/08/2024"
"25416","Closed","","","14093321","13689","","","","ICSS Batch 1","ICSS","F","","Deinstructed - Streetworks","","","","","","","Site Removed from List
ICSS Batch 1 - all instructed sites up to 29/04/2024","Tenecos","Gavin Atkinson, Ultan Ryan","","A","","F","","01/01/1900","","","","18/04/2024","","T","F","","","","","","","F","","","","","","","","","","","","","Raashid Patel","","","","","","","F","","","","","","",""
"25442","In Progress","Acquisition & Design","27/03/2024","13585840","90675","","","","ICSS","ICSS","F","P2","Greenfield","","","","","","","ICSS Batch 1 - all instructed sites up to 29/04/2024","KTL (Internal)","Peter Barrett","","A","REQ000003472739","T","24/04/2024","24/04/2024","01/01/1900","01/01/1900","01/01/1900","24/04/2024","","T","F","","26/04/2024 -VG- Peter Barrett in his mail mentioned: <br />TREES TO BE CUT BACK FROM TOWER - REPORTED VIA LOCKEN","","","Emfyser","GA (Existing + Proposed Pages)","F","08/05/2024","B","Sikandar Iqbal","Approved","Rev B GA approved by EE","***Unique Coverage Site***
01/07/24 LM: GDC Report returned: Pass
25/06/24 BW: Trylon confirmed they can progress the headframe check. PO to be raised
21/06/24 BW: Proposed headframe sketch sent. waiting for Trylon to review. Need PO
19/06/24 BW: assumed BD can be used. 
18/06/24 BW: Existing steelwork details requested for RS for GDC
18/06/24 BW: Trylon requested addional info. 
13/06/24 BW: GDC instruction sent to Trylon.
07/06/2024 BW: GDC cost approval requested from CS/EE
06/06/24 BW: Rev B GA approved by EE
05/06/24 BW: Rev B GA issued to EE
03/06/24 BW: GA rejected by EE. see folder for emails. Drawings redlined and sent to CAD to update 
14/05/24 BW: 2A GA issued to EE 
13/05/24 BW: 2A GA approved by CS
10/05/24 BW: Rev 2A drawings uploaded to CS SP 
09/05/24 BW: GA rejected by CS. redline sent to Emfyser 
08/05/24 BW: GA uploaded to CS SP
07/05/24 BW: First draft received, redlined and returned.
07/05/24 BW: GA not back from Emfyser. Chased
01/05/24 BW: GA Instructed to Emfyser","08/05/2024","13/05/2024","14/05/2024","06/06/2024","Emfyser","Green","","","","Approved","","11/10/24 LM: DD approved by CS, Uploaded to ST
09/10/24 LM: HCB approved, PO requested
30/09/24 LM: Build costs sent to CS to send to EE McCreadies
24/09/24 LM: Build costs approved CS McCreadies
09/09/24 LM: Build costs submitted
28/08/24 LM: DD approved by EE on 16/08/2024, changes to be made and uploaded to CS shortly.
Legals instructed 03/07, awaiting draft.
Landlord notification done and Reg 5 has timed out. Agents fees £950+VAT to be approved by CS.
Build costs in progress
This should be good for September
16/08/24 LM: DD Approved with observations
15/08/24 LM: Mark Gleghorn advised Approved by Radio at EE so official approval due imminently
13/08/24 LM: 1A issued to DD
31/07/24-MM-1A Issued to CS
31/07/24 LM: MM to complete amends in house
05/07/24 BW: Electrical to be added in, redline sent to CAD. Structural calcs need to be updated. Ask Luaksz for tower details. 
02/07/24 BW: DD instruction sent to Emfyser","1A","T","31/07/2024","19/07/2024","31/07/2024","Martin McWaters","11/10/2024","13/08/2024","16/08/2024"
"25459","In Progress","Acquisition & Design","27/03/2024","12431232","51535","","","","ICSS","ICSS","F","P2","Greenfield","","","","","","","ICSS Batch 1 - all instructed sites up to 29/04/2024","KTL (Internal)","Chris Padfield","","A","REQ000003482969","T","30/04/2024","30/04/2024","01/01/1900","01/01/1900","01/01/1900","30/04/2024","","T","F","","2/5/2024 -VG- Chris Padfield mentioned in his mail dated 1/5/2024 that: <br />1 - Limited space on the headframe to add additional antenna<br />2 - Either add 3 No Active antenna mounted over 3 No passive antenna or 3 No active/passive antenna to rep","","","Emfyser","GA (Existing + Proposed Pages)","T","13/05/2024","1A","Sikandar Iqbal","Approved","1A approved by EE","09/07/24 LM: GDC Report Complete, Pass
09/07/24 BW: GDC not back Swann chased
01/07/24 BW: GDC due back by 05/07
24/05/24 BW: GA rejected to EE + EE queries. SI to review 
22/05/24 BW: GA approved by EE
14/05/24 BW: 1A approved by CS and issued to EE 
13/05/24 BW: Issued to CS 
13-05-2024 SI: 5th draft of GA REV_1A received and ready to submit. 
10-05-2024 SI: Redlines on 4th GA Draft shared with Emfyser.
10-05-2024 SI: Redlines on third GA Draft shared with Emfyser
09-05-2024 SI: Redlines on second GA Draft shared with Emfyser.
08-05-2024 SI: First Draft received and Redlines on first draft send back to Emfyser. 
03/05/2024 SI: GA Instructed with full proposed techs and MiMo.","13/05/2024","14/05/2024","14/05/2024","22/05/2024","Emfyser","Green","Raashid Patel","","","Approved","","05/09/24 LM: DD amends approved by CS
28/08/24 LM: Build costs were sent yesterday.
DD approved by EE 22/08/2024
License of Occupy is with EE to approve.
This looks likely to fall out of August but one we will secure in September for Access.
22/08/24 LM: DD approved by EE
15/08/24-MM-DD 2A uploaded to EE
07/08/24 LM: DD A1 rejected by CS
29/07-MM-A1 Issued to CS
18/07/24-MM- DD Instructed to Emfyser
14/03/24 BW: See CS approval email for required amends","2A","T","19/07/2024","01/01/2020","15/07/2024","Martin McWaters","15/08/2024","15/08/2024","22/08/2024"
"25466","In Progress","Acquisition & Design","27/03/2024","12169237","94168","","","","ICSS","ICSS","F","P2","Greenfield","","","","","","","ICSS Batch 1 - all instructed sites up to 29/04/2024","KTL (Internal)","Ian Mcintosh","","A","REQ000003518550","T","17/05/2024","17/05/2024","01/01/1900","01/01/1900","01/01/1900","17/05/2024","","T","F","","","","","Emfyser","GA (Existing + Proposed Pages)","T","14/06/2024","2A","Sikandar Iqbal","Approved","2A approved by EE","16/07/24 LM: GDC Complete, Pass
05/07/24 BW: PO sent to Trylon for GDC. FC 12/07
02/07/24 LM: GDC quote received, Cost approval sent to CS
01/07/24 LM: GDC quote instruction to Trylon
28/06/24 BW: 2A approved by EE
24/06/24 BW: 2A issued to EE
24/06/24 BW: 2A approved by CS. see email in folder for amends at DD 
18/06/24 BW: 2A issued to CS
17/06/24 SI: GA REV 2A Draft 1  is ready to issue. 
14/06/24 SI: Redlines on CS Rejection on GA REV 1A shared with Emfyser.
10/06/24 SI: GA Rev 1A draft 2 is ready to issue. 
06/06/24 SI: Redlines on first draft of GA REV 1A shared with Emfyser.
31/05/24 SI: GA instructed
28/05/24 BW: SI to instruct GA","10/06/2024","24/06/2024","24/06/2024","28/06/2024","Emfyser","Green","Raashid Patel","","","Approved","","09/10/24-MM-DD 2A approved by CS
09/10/24 LM: HCB approved, PO requested
08/10/24-MM-DD 2A Issued to CS & Uploaded to ST
09/09/24 LM: DD rejected by CS, see file for notes.
28/08/24 LM: Natalie at CS updated: DD approved by EE on 15/08/2024, will upload to CS tools shortly.
Legal instructed sent 29/07, awaiting reply from solicitor. Will chase today, may need escalation from CS.
Landlord notification done and Reg 5 has timed out
Build costs in progress
This should be good for September subject to solicitor response.
15/08/24 LM: DD Approved by EE with obs, see Design/Build Comments
15/08/24 LM: Mark Gleghorn advised Approved by Radio at EE so official approval due imminently
13/08/24 LM: 1A issued to EE
31/07/24-MM-1A issued to CS
23/07/24- DD Instructed to Emfyser 
16/07/24 LM: GDC Complete, Pass
05/07/24 BW: PO sent to Trylon for GDC. FC 12/07
24/06/24 BW: 2A approved by CS. see email in folder for amends at DD","2A","T","31/07/2024","01/01/2020","31/07/2024","Martin McWaters","09/10/2024","13/08/2024","15/08/2024"
"26024","Closed","","","11247024","93800","","","","","ICSS","F","","Greenfield","","","","","","","","","","","","","F","","","","","","01/01/1900","","F","F","","","","","","","F","","","","","","","","","","","","","Raashid Patel","","","","","","","F","","","","","","",""
"26078","In Progress","Acquisition Only","18/03/2024","12086836","316","","","","Microwave","Microwave","F","","Deinstructed","","","","","","","","","","","","","F","01/01/1900","01/01/1900","01/01/1900","01/01/1900","01/01/1900","01/01/1900","","F","F","","","","","Emfyser","GA (Existing + Proposed Pages)","F","01/01/1900","A","","To be instructed","","","","01/01/1900","01/01/1900","01/01/1900","Emfyser","","Raashid Patel","","","To be instructed","","","","F","01/01/1900","01/01/1900","","","01/01/1900","01/01/1900","01/01/1900"
