"Internal ID","Vendor","Site Type","Proposed Vendor","Proposed Mimo Config","Site Access Achieved ","ESN Power Resilience Hub","Power Resilience Solution","Unique Coverage","Existing Power Supply Type","EXISTING POWER SUPPLY PHASE","Existing Power Supply Rating","Main Contract","Hyperlink","Design Dependency Type","Overall GA Status","Overall DD Status","Site ID","Supplier instructed","Owner","Revision","DD Rev 1 Forecast","Build Start","Delivery F/C","Next actioner","Status","Comments"
18528,"KTL UK Internal Design Team","Greenfield",,,"30/10/2024",,,,,,,"Cornerstone UK : Cornerstone UK Main Contract","Cornerstone UK : CS 12063734 52vf VF399 DESIGN","047 Design Survey Document Review","Approved","Approved","52vf","15/10/2024","Ben Watson","A","25/10/2024","1/1/1900","15/10/2024","David Hegarty","Not Started","15/10/24 LC ELECTRICAL DESIGN COMPLETE, DNO REQUIRED FOR ISOLATOR"
22296,"KTL UK Internal Design Team","Rooftop","Ericsson","18\21\26 @2x2; 70\80 @2x2; 3500 @8x8","1/1/1900","0","0","0",,,,"Everything Everywhere Limited : EE Special Projects Main Contract","Everything Everywhere Limited : P-277027 62340 TA CENTRE","006 Electrical Calculations / Design","Approved","Amendment","62340","22/1/2025","Joshua Green","B","25/4/2025","1/1/1900","13/2/2025","Nick Seymour","In Progress","19/02/25 NS - This site needs to be discussed internally with Dave H. Existing LL Supply DB manufacturer of MCBs are not compliant. May need a re-survey to determine an alternative supply from the LL premises. <br /><br />10/02/25-JG-Please complete "
23504,"KTL UK Internal Design Team","Rooftop","Ericsson","18\21\26 @4x4; 70\80 @2x2; 3500 @8x8","25/2/2025","0","C1_DT+AOI","0",,,,"Everything Everywhere Limited : EE Grissom - Acq, Design & Build Main Contract","Everything Everywhere Limited : P-176691 98183 BRISTOL HOUSE","006 Electrical Calculations / Design","Approved","Awaiting dependencies","98183","28/2/2025","Joshua Green","B","4/4/2025","1/1/1900","5/3/2025","Sarah  Radwan","In Progress","03.03.25.DH electrical designer instructed 28/02/25-JG-PLease update electricals, survey files on SP"
14811,"KTL UK Internal Design Team","Rooftop","Nokia","18\21\26 @4x4; 70\80 @2x4; 3500 @32x32","23/10/2024","0","0","0","DNO","Single Phase","100A","Everything Everywhere Limited : EE Grissom - Acq, Design & Build Main Contract","Everything Everywhere Limited : P-273438 50575 HARRIER HOUSE","006 Electrical Calculations / Design","Approved","First Check","50575","21/2/2025","Joshua Green","A","28/3/2025","1/1/1900","6/3/2025","Sarah  Radwan","On Hold Query","10/03/25 - SH - multiple earth survey and EE's proposed work will exceed the sharing limit. Email sent to JG<br />25.02.25.DH.electrical design instructed 21/02/25-JG-Please complete electricals"
22038,"KTL UK Internal Design Team","Greenfield","Nokia","18\21\26 @4x4; 70\80 @2x4; 3500 @32x32",,,,"18\21\26 @4x4; 70\80 @2x2; 3500 @32x32",,,,"Cornerstone UK : Cornerstone UK Main Contract","Cornerstone UK : CS Acq and Design 13621431 91649 ICSS","006 Electrical Calculations / Design","Approved","To be instructed","91649","13/1/2025","Reece V Belkum","A","28/3/2025","1/1/1900","6/3/2025","Leon  Chevallier","In Progress","3.3.25 LC Draft design added to SP.<br />28/2/2025 - RVB - ID:0002432 HALO tickt rasied for electrical. Might need draft design to submit <br />14/2/25 LC DESIGN DRAFTED, POWER SHARE RULE EXCEEDED. MM EMAILED FOR REQUIRED SOLUTION.<br />13/01/2025 - "
22627,"KTL UK Internal Design Team","Rooftop","Nokia","18\21\26 @4x4; 70\80 @2x4; 3500 @32x32","1/1/1900","0","0","0",,,,"Everything Everywhere Limited : EE Grissom - Acq, Design & Build Main Contract","Everything Everywhere Limited : P-273794 91756 AERIAL WINSLOW FIRE STATION","006 Electrical Calculations / Design","Approved","To be instructed","91756","3/2/2025","Joshua Green","A","25/5/2025","1/1/1900","7/3/2025","Sarah  Radwan","Not Started","20/02/25-JG-Uploaded additional information on SP please review and let me know if survey still required<br />14/02/25 - SH - emailed JG for resurvey of the supply. Not captured properly <br />03/02/25-JG-Please complete electrical design"
14322,"KTL UK Internal Design Team","Third Party Radio Site (TPRS)","Nokia","18\21\26 @4x4; 70\80 @2x4","9/2/2024","Potential Commercial - Check Required","0","Unique Coverage","DNO","Single Phase","100A","Everything Everywhere Limited : EE Grissom - Acq, Design & Build Main Contract","Everything Everywhere Limited : P-273624 91899 SHEEPCOATES FARM TOWER","006 Electrical Calculations / Design","Approved","Awaiting dependencies","91899","5/3/2025","Reece V Belkum","C","4/4/2025","1/1/1900","10/3/2025",,"Not Started","04/03/25-TM- Power res site- electrical to be re-run, please send BT email <br />-----------------------------<br />19/10/2024 - RVB - Received<br />28.08.24 LC ELECTRICASL DESIGN UPDATED<br />16/8/2024 - RVB - As requested by Tony Monk: The electric"
23390,"KTL UK Internal Design Team","Rooftop","Ericsson","18\21\26 @2x2; 70\80 @2x2","1/1/1900","0","0","0",,,,"Everything Everywhere Limited : EE Grissom - Acq, Design & Build Main Contract","Everything Everywhere Limited : P-258083 66156 EMMANUEL CHURCH - OPTION A","006 Electrical Calculations / Design","Approved","First Check","66156","25/2/2025","Reece V Belkum","B","31/5/2025","1/1/1900","12/3/2025","Sarah  Radwan","Not Started","03.03.25.DH electrical designer instructed 25/2/2025 - RVB - Please see DD"
22762,"KTL UK Internal Design Team","Rooftop","Ericsson","18\21\26 @4x4; 3500 @32x32","1/1/1900","0","0","0",,,,"Everything Everywhere Limited : EE Grissom - Acq, Design & Build Main Contract","Everything Everywhere Limited : P-175698 90461 LAKESIDE SHOPPING CENTRE","006 Electrical Calculations / Design","Approved","To be instructed","90461","6/2/2025","Joshua Green","A","11/4/2025","1/1/1900","12/3/2025","Sarah  Radwan","Not Started","03.03.25.DH electrical designer instructed 06/02/25-JG-Please complete electrical design"
23540,"KTL UK Internal Design Team","Rooftop",,,,,,,,,,"Cornerstone UK : Cornerstone Beacon 4 Main Contract","Cornerstone UK : CS 20215823 89056 B4 DESIGN","047 Design Survey Document Review","Approved","To be instructed","89056","3/3/2025","Raashid Patel","A","1/1/2040",,"12/3/2025","David Hegarty","Not Started","03/03/25 - RP - Survey review required."
